,id,name,vector_id,datetime,score,rerunscore
47,29911,elog time gap vector at 2024-03-29 19:13:09Z,6,2024-03-29 12:13:09.404905-07,0.1063607530030654,0.000185021876998957
85,30152,elog time gap vector at 2024-03-30 16:48:39Z,6,2024-03-30 09:48:39.540306-07,0.1063607530030654,0.00469712810086156
88,30300,elog time gap vector at 2024-03-30 23:46:11Z,6,2024-03-30 16:46:11.181061-07,0.1063607530030654,0.000320921687993183
173,30422,elog time gap vector at 2024-03-31 14:32:47Z,6,2024-03-31 07:32:47.350983-07,0.1063607530030654,0.00293682410180465
97,30516,elog time gap vector at 2024-03-31 18:32:50Z,6,2024-03-31 11:32:50.133172-07,0.1063607530030654,0.00533896896902771
81,30610,elog time gap vector at 2024-03-31 22:32:52Z,6,2024-03-31 15:32:52.724305-07,0.1063607530030654,0.00968675814777028
54,30806,elog time gap vector at 2024-04-01 17:57:41Z,6,2024-04-01 10:57:41.895006-07,0.1063607530030654,0.00200137714635428
80,31033,elog time gap vector at 2024-04-02 13:06:42Z,6,2024-04-02 06:06:42.442263-07,0.1063607530030654,0.0342442073640734
82,31124,elog time gap vector at 2024-04-02 17:12:06Z,6,2024-04-02 10:12:06.320433-07,0.1063607530030654,0.0614623226982632
72,31218,elog time gap vector at 2024-04-02 21:12:09Z,6,2024-04-02 14:12:09.102225-07,0.1063607530030654,0.00020614859752419
23,31424,elog time gap vector at 2024-04-03 16:48:17Z,6,2024-04-03 09:48:17.17649-07,0.1063607530030654,0.00388642835185392
43,31518,elog time gap vector at 2024-04-03 20:48:20Z,6,2024-04-03 13:48:20.070185-07,0.1063607530030654,0.00705982512623101
128,31612,elog time gap vector at 2024-04-04 00:48:22Z,6,2024-04-03 17:48:22.696655-07,0.1063607530030654,0.0127909908275005
96,31730,elog time gap vector at 2024-04-04 15:33:38Z,6,2024-04-04 08:33:38.084195-07,0.1063607530030654,0.105930570450927
172,31824,elog time gap vector at 2024-04-04 19:33:40Z,6,2024-04-04 12:33:40.897775-07,0.1063607530030654,0.177572359662132
19,31918,elog time gap vector at 2024-04-04 23:33:43Z,6,2024-04-04 16:33:43.540553-07,0.1063607530030654,0.28236263346233
103,32056,elog time gap vector at 2024-04-05 16:52:57Z,6,2024-04-05 09:52:57.291093-07,0.1063607530030654,0.840948281312656
162,32150,elog time gap vector at 2024-04-05 20:53:00Z,6,2024-04-05 13:53:00.096507-07,0.1063607530030654,0.000204432758520632
64,32324,elog time gap vector at 2024-04-06 15:48:30Z,6,2024-04-06 08:48:30.685211-07,0.1063607530030654,0.00348327679567106
59,32418,elog time gap vector at 2024-04-06 19:48:33Z,6,2024-04-06 12:48:33.448915-07,0.1063607530030654,0.00632954471967322
132,7117,elog time gap vector at 2024-01-03 20:27:31Z,6,2024-01-03 12:27:31.580065-08,2.827293763112911e-05,0.000212276057386023
133,7211,elog time gap vector at 2024-01-04 00:27:34Z,6,2024-01-03 16:27:34.091267-08,4.2180508272726654e-05,0.000386765156127192
134,7305,elog time gap vector at 2024-01-04 04:27:36Z,6,2024-01-03 20:27:36.439063-08,6.292870235263641e-05,0.000704576925262798
135,7398,elog time gap vector at 2024-01-04 08:27:38Z,6,2024-01-04 00:27:38.827984-08,9.388197584155062e-05,0.00128320720129844
136,7492,elog time gap vector at 2024-01-04 12:27:41Z,6,2024-01-04 04:27:41.232066-08,0.0001400582964867,0.00233592536258286
137,7586,elog time gap vector at 2024-01-04 16:27:43Z,6,2024-01-04 08:27:43.61244-08,0.0002089419494939,0.00424859486326655
138,7678,elog time gap vector at 2024-01-04 20:27:46Z,6,2024-01-04 12:27:46.031699-08,0.0003116937740182,0.00771527066967172
139,7772,elog time gap vector at 2024-01-05 00:27:48Z,6,2024-01-04 16:27:48.488886-08,0.0004649528426824,0.0139709431498643
140,7866,elog time gap vector at 2024-01-05 04:27:50Z,6,2024-01-04 20:27:50.963904-08,0.0006935167447277,0.0251701784627287
9,7972,elog time gap vector at 2024-01-13 01:34:02Z,6,2024-01-12 17:34:02.908382-08,0.999991169529856,0.000631176264602071
94,8215,elog time gap vector at 2024-01-13 15:42:55Z,6,2024-01-13 07:42:55.534781-08,0.9999978543987196,0.00524562604857404
92,8371,elog time gap vector at 2024-01-13 22:49:12Z,6,2024-01-13 14:49:12.687474-08,0.9999989456290448,0.0150770966225834
105,8518,elog time gap vector at 2024-01-14 17:04:09Z,6,2024-01-14 09:04:09.696665-08,0.99717527810156,0.191234100233845
5,8636,elog time gap vector at 2024-01-14 22:34:33Z,6,2024-01-14 14:34:33.587514-08,0.99717527810156,0.000190628875051147
6,8845,elog time gap vector at 2024-01-15 15:50:25Z,6,2024-01-15 07:50:25.987641-08,0.99717527810156,0.00253428028369277
26,8939,elog time gap vector at 2024-01-15 19:50:28Z,6,2024-01-15 11:50:28.607264-08,0.8317602244720048,0.00460865944043069
76,9060,elog time gap vector at 2024-01-16 01:36:47Z,6,2024-01-15 17:36:47.18838-08,0.8980131325479989,0.0108850018989024
161,9155,elog time gap vector at 2024-01-16 15:46:42Z,6,2024-01-16 07:46:42.091477-08,0.9731916036002656,0.000553318374986704
98,9295,elog time gap vector at 2024-01-16 22:17:29Z,6,2024-01-16 14:17:29.098099-08,0.9858413702175788,0.00146846966163795
22,9389,elog time gap vector at 2024-01-17 02:17:31Z,6,2024-01-16 18:17:31.505802-08,0.9904652769863171,0.00267276719005483
14,9533,elog time gap vector at 2024-01-17 17:03:14Z,6,2024-01-17 09:03:14.527418-08,0.997805187301084,0.000140881434641216
4,9671,elog time gap vector at 2024-01-17 23:21:58Z,6,2024-01-17 15:21:58.408565-08,0.9988312509344498,0.000363044279838334
184,9870,elog time gap vector at 2024-01-18 18:59:00Z,6,2024-01-18 10:59:00.297564-08,0.999835489425123,0.00684040840454211
198,9964,elog time gap vector at 2024-01-18 22:59:02Z,6,2024-01-18 14:59:02.711139-08,0.999889726309265,0.0123955666747041
